"content_id","video_session_id","user_id","event_type","event","event_timestamp","platform","app_version","country","audio_language","subtitle_language","player_version","session_start_epoch"
90000001,"plain-11","user-034","VideoSessionStart","VideoSessionStart",1785693780000,"FIRE_TV","4.1.0","india","eng","unk","2.0.1",1785693780000
90000002,"bgonly-01","user-032","VideoSessionStart","VideoSessionStart",1785693780000,"FIRE_TV","4.1.0","india","eng","unk","2.0.1",1785693780000
90000001,"plain-11","user-034","VideoPlay","Play",1785693781500,"FIRE_TV","4.1.0","india","eng","unk","2.0.1",1785693780000
90000002,"bgonly-01","user-032","VideoPlay","Play",1785693781500,"FIRE_TV","4.1.0","india","eng","unk","2.0.1",1785693780000
90000001,"plain-11","user-034","VideoHeartbeat","buffer-health",1785693820000,"FIRE_TV","4.1.0","india","eng","unk","2.0.1",1785693780000
90000002,"bgonly-01","user-032","VideoHeartbeat","BufferEnd",1785693820000,"FIRE_TV","4.1.0","india","eng","unk","2.0.1",1785693780000
90000003,"plain-03","user-016","VideoSessionStart","VideoSessionStart",1785693840000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693840000
90000004,"open-02","user-024","VideoSessionStart","VideoSessionStart",1785693840000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693840000
90000001,"open-04","user-038","VideoSessionStart","VideoSessionStart",1785693840000,"Mweb","4.1.0","india","hin","OFF","2.0.1",1785693840000
90000004,"dupstart-01","user-024","VideoSessionStart","VideoSessionStart",1785693840000,"ANDROID_PHONE","4.1.0","singapore","hin","OFF","2.0.1",1785693840000
90000004,"dupstart-01","user-024","VideoSessionStart","VideoSessionStart",1785693840000,"ANDROID_PHONE","4.1.0","singapore","hin","OFF","2.0.1",1785693840000
90000002,"gap-02","user-015","VideoSessionStart","VideoSessionStart",1785693840000,"Mweb","4.1.0","india","hin","OFF","2.0.1",1785693840000
90000004,"pause-02","user-033","VideoSessionStart","VideoSessionStart",1785693840000,"VISION_PRO","4.1.0","singapore","tam","eng","2.0.1",1785693840000
90000003,"plain-03","user-016","VideoPlay","Play",1785693841500,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693840000
90000004,"open-02","user-024","VideoPlay","Play",1785693841500,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693840000
90000004,"dupstart-01","user-024","VideoPlay","Play",1785693841500,"ANDROID_PHONE","4.1.0","singapore","hin","OFF","2.0.1",1785693840000
90000002,"gap-02","user-015","VideoPlay","Play",1785693841500,"Mweb","4.1.0","india","hin","OFF","2.0.1",1785693840000
90000004,"pause-02","user-033","VideoPlay","Play",1785693841500,"VISION_PRO","4.1.0","singapore","tam","eng","2.0.1",1785693840000
90000001,"plain-11","user-034","VideoHeartbeat","buffer-health",1785693860000,"FIRE_TV","4.1.0","india","eng","unk","2.0.1",1785693780000
90000002,"bgonly-01","user-032","VideoHeartbeat","BufferStart",1785693860000,"FIRE_TV","4.1.0","india","eng","unk","2.0.1",1785693780000
